Tweet,loc,State
RT @ZaleskiLuke: @MollyJongFast “I’ll NEVER TAKE THAT CRAZY VACCINE THAT’LL TURN ME INTO A ZOMBIE THAT CAN BE TRACKED BY BIG TECH AND THE D…,,NA
RT @ZaleskiLuke: “I’ll NEVER TAKE THAT CRAZYASS VACCINE THAT’LL TURN ME INTO A ZOMBIE THAT CAN BE TRACKED BY BIG TECH AND THE DEEP STATE LI…,,NA
"RT @ANI: 25% of vaccination work with states will now be handled by the Centre, it will be implemented in the coming two weeks. Both State…","New Delhi, India",NA
RT @ZaleskiLuke: @MollyJongFast “I’ll NEVER TAKE THAT CRAZY VACCINE THAT’LL TURN ME INTO A ZOMBIE THAT CAN BE TRACKED BY BIG TECH AND THE D…,"Long Island, New York",New York
RT @ZaleskiLuke: @MollyJongFast “I’ll NEVER TAKE THAT CRAZY VACCINE THAT’LL TURN ME INTO A ZOMBIE THAT CAN BE TRACKED BY BIG TECH AND THE D…,,NA
RT @ZaleskiLuke: @MollyJongFast “I’ll NEVER TAKE THAT CRAZY VACCINE THAT’LL TURN ME INTO A ZOMBIE THAT CAN BE TRACKED BY BIG TECH AND THE D…,,NA
@ollysmithtravel We learn that done rather risk catching virus than get vaccine to not catch it cause they by lies… https://t.co/DbqgyD4Vzj,"Birmingham, AL",Alabama
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,The Monmouth Tract,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,NYC,New York
"RT @RajivTy29200637: @pbhushan1 Prashant ji, I want to file a P I L on my right to refuse a vaccine, because I see it coming shortly that g…",,NA
"Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! https://t.co/eIVPJwtX4H","Roscoe, IL",Illinois
RT @Shehzad_Ind: Seeing the states and the way they managed or mismanaged even the 25% channel of vaccinations I think PM @narendramodi is…,"পশ্চিম বঙ্গ, भारत",NA
"RT @nytimes: States across the South, where vaccination rates are lagging, could face a surge in coronavirus cases over the summer, experts…",Dreaming of Prague,NA
"Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! https://t.co/HDyLsM25oi",Tehran,NA
"@MichaelZarrabi To think,
all this time Dr. Fauci has been secretly working with Hugo Chavez, who is guided by the… https://t.co/MoaqcSg5V8","#NeverTrump, California, USA",California
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Florida, USA",Florida
"Global Research: The Covid Deep State: Threats, Vaccine Injuries and Deaths Abound No Compensation. No Justice - Gl… https://t.co/FLRHqTuRZl","Boise, ID",Idaho
"Voter Fraud, Deep State Exposed, Alien Invasion, Vaccine Shedding, Elevating Your Frequency &amp; More! https://t.co/B2w32GeKgJ",Montana,Mondana
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Manitoba, Canada",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Pennsylvania, USA",Pennsylvania
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Eastern U.S.,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Pennsylvania, USA",Pennsylvania
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,San Francisco,California
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Raleigh, NC",North Carolina
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,London,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,,NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,Northern Virginia,North Virginia
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Fort Frances, Ontario, Canada",NA
RT @greenfield64: Trump’s praise of the vaccine shocked his crowd into  silence; many if not most think it’s a hoax or a deep state creatio…,"Myrtle Beach, S.C.",South Carolina
